,artist,album,track_name,track_id,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,playlist_name
53,Dave B.,Punch Drunk,Outside,5eJQgWONd6dLhJRFtq6Bxc,0.441,0.609,11,-9.234,0,0.464,5.24e-06,0.211,0.13,179.737,174156,4,33.0,Blue
54,Dave B.,Punch Drunk,Worth It,2WXwM5pNgVcBhwDoTE1yQL,0.709,0.453,1,-7.737,0,0.115,0.0,0.0893,0.125,124.948,176672,4,27.0,Blue
55,Dave B.,Tomorrow,Right Here,6kP92fKzIyVJtNobCRsZ6G,0.653,0.41,5,-13.26,1,0.0912,0.0,0.108,0.119,128.045,204535,4,50.0,Blue
56,Deca,The Ocean,Breadcrumbs,7tmfrvAm84ntXtwbn1ybgt,0.635,0.747,10,-6.951,1,0.354,0.00228,0.1,0.847,83.305,179392,4,45.0,Blue
57,Dispatch,Bang Bang,The General,6n6EXIwLtNwe4u4CFzENYm,0.541,0.675,10,-6.136,1,0.192,0.0,0.107,0.686,91.09,246920,4,61.0,Blue
58,Dispatch,Bang Bang,Two Coins,0wsis8nb0CLqWoRvEPvwiS,0.536,0.305,7,-8.645,1,0.121,2.9e-06,0.101,0.643,175.184,186520,4,47.0,Blue
59,Domo Genesis,Genesis,Coming Back (feat. Mac Miller),1WsRuvitfegWXQJKRgRZrj,0.514,0.723,4,-8.748,0,0.406,0.0,0.672,0.587,89.14,161653,4,61.0,Blue
60,Felly,Seattle,Seattle,2yNF9m19uExG3XJW0nKah8,0.477,0.38,2,-15.192,0,0.385,0.00044,0.616,0.234,78.048,178462,4,0.0,Blue
61,Felly,"Shoulda Known Better (feat. Rexx Life Raj, Matt Burton & Healy)","Shoulda Known Better (feat. Rexx Life Raj, Matt Burton & Healy)",61liOUzwYpANHPZKj8ZH4n,0.881,0.608,6,-9.304,0,0.142,2.54e-06,0.277,0.404,116.917,204103,4,0.0,Blue
62,Healy,Subluxe,Build,0KHhJA8abb1mKWqG94AuW3,0.792,0.317,9,-9.834,0,0.135,0.0246,0.113,0.232,87.999,220046,4,0.0,Blue
63,Holy Wave,Relax,Do You Feel It,2rHFHEsthyezfUxu6hbcVp,0.447,0.449,4,-9.522,1,0.0292,0.746,0.106,0.705,167.07,214160,4,40.0,Blue
64,J. Cole,False Prophets,False Prophets,0eneujAc4PxkdjP25Gsue1,0.729,0.739,8,-9.5,0,0.338,9.37e-06,0.164,0.749,90.306,237427,4,59.0,Blue
65,Jared Evan,The Art Form of Whatever,The Art Form (feat. Stella),2VaUluwVidULp7ZL9ENOzw,0.63,0.89,8,-5.69,1,0.109,4.07e-06,0.105,0.399,98.972,214027,4,13.0,Blue
